"political_party","total_votes","pp_valid_votes","pp_casting_votes","department","province","district"
"PODEMOS PERU","18","1.537%","1.114%","ANCASH","PALLASCA","PAMPAS"
"JUNTOS POR EL PERU","87","7.430%","5.384%","ANCASH","PALLASCA","PAMPAS"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","PALLASCA","PAMPAS"
"FUERZA POPULAR","66","5.636%","4.084%","ANCASH","PALLASCA","PAMPAS"
"UNION POR EL PERU","5","0.427%","0.309%","ANCASH","PALLASCA","PAMPAS"
"RENOVACION POPULAR","28","2.391%","1.733%","ANCASH","PALLASCA","PAMPAS"
"RENACIMIENTO UNIDO NACIONAL","5","0.427%","0.309%","ANCASH","PALLASCA","PAMPAS"
"PARTIDO DEMOCRATICO SOMOS PERU","40","3.416%","2.475%","ANCASH","PALLASCA","PAMPAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","535","45.687%","33.106%","ANCASH","PALLASCA","PAMPAS"
"DEMOCRACIA DIRECTA","4","0.342%","0.248%","ANCASH","PALLASCA","PAMPAS"
"ALIANZA PARA EL PROGRESO","120","10.248%","7.426%","ANCASH","PALLASCA","PAMPAS"
"PARTIDO NACIONALISTA PERUANO","9","2.256%","1.818%","ANCASH","PALLASCA","SANTA ROSA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1","0.251%","0.202%","ANCASH","PALLASCA","SANTA ROSA"
"PARTIDO MORADO","11","2.757%","2.222%","ANCASH","PALLASCA","SANTA ROSA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","ANCASH","PALLASCA","SANTA ROSA"
"VICTORIA NACIONAL","37","9.273%","7.475%","ANCASH","PALLASCA","SANTA ROSA"
"ACCION POPULAR","51","12.782%","10.303%","ANCASH","PALLASCA","SANTA ROSA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","4","1.003%","0.808%","ANCASH","PALLASCA","SANTA ROSA"
"PODEMOS PERU","5","1.253%","1.010%","ANCASH","PALLASCA","SANTA ROSA"
"JUNTOS POR EL PERU","56","14.035%","11.313%","ANCASH","PALLASCA","SANTA ROSA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.251%","0.202%","ANCASH","PALLASCA","SANTA ROSA"
"FUERZA POPULAR","79","19.799%","15.960%","ANCASH","PALLASCA","SANTA ROSA"
"UNION POR EL PERU","2","0.501%","0.404%","ANCASH","PALLASCA","SANTA ROSA"
"RENOVACION POPULAR","11","2.757%","2.222%","ANCASH","PALLASCA","SANTA ROSA"
"RENACIMIENTO UNIDO NACIONAL","3","0.752%","0.606%","ANCASH","PALLASCA","SANTA ROSA"
"PARTIDO DEMOCRATICO SOMOS PERU","3","0.752%","0.606%","ANCASH","PALLASCA","SANTA ROSA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","84","21.053%","16.970%","ANCASH","PALLASCA","SANTA ROSA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","PALLASCA","SANTA ROSA"
"ALIANZA PARA EL PROGRESO","42","10.526%","8.485%","ANCASH","PALLASCA","SANTA ROSA"
"PARTIDO NACIONALISTA PERUANO","37","4.322%","3.043%","ANCASH","PALLASCA","TAUCA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","9","1.051%","0.740%","ANCASH","PALLASCA","TAUCA"
"PARTIDO MORADO","17","1.986%","1.398%","ANCASH","PALLASCA","TAUCA"
"PERU PATRIA SEGURA","7","0.818%","0.576%","ANCASH","PALLASCA","TAUCA"
"VICTORIA NACIONAL","61","7.126%","5.016%","ANCASH","PALLASCA","TAUCA"
"ACCION POPULAR","91","10.631%","7.484%","ANCASH","PALLASCA","TAUCA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","23","2.687%","1.891%","ANCASH","PALLASCA","TAUCA"
"PODEMOS PERU","25","2.921%","2.056%","ANCASH","PALLASCA","TAUCA"
"JUNTOS POR EL PERU","123","14.369%","10.115%","ANCASH","PALLASCA","TAUCA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.117%","0.082%","ANCASH","PALLASCA","TAUCA"
"FUERZA POPULAR","115","13.435%","9.457%","ANCASH","PALLASCA","TAUCA"
"UNION POR EL PERU","8","0.935%","0.658%","ANCASH","PALLASCA","TAUCA"
"RENOVACION POPULAR","48","5.607%","3.947%","ANCASH","PALLASCA","TAUCA"
"RENACIMIENTO UNIDO NACIONAL","5","0.584%","0.411%","ANCASH","PALLASCA","TAUCA"
"PARTIDO DEMOCRATICO SOMOS PERU","81","9.463%","6.661%","ANCASH","PALLASCA","TAUCA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","133","15.537%","10.938%","ANCASH","PALLASCA","TAUCA"
"DEMOCRACIA DIRECTA","3","0.350%","0.247%","ANCASH","PALLASCA","TAUCA"
"ALIANZA PARA EL PROGRESO","69","8.061%","5.674%","ANCASH","PALLASCA","TAUCA"
"PARTIDO NACIONALISTA PERUANO","13","0.893%","0.653%","ANCASH","POMABAMBA","HUAYLLAN"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","21","1.443%","1.055%","ANCASH","POMABAMBA","HUAYLLAN"
"PARTIDO MORADO","17","1.168%","0.854%","ANCASH","POMABAMBA","HUAYLLAN"
"PERU PATRIA SEGURA","0","0.000%","0.000%","ANCASH","POMABAMBA","HUAYLLAN"
"VICTORIA NACIONAL","32","2.199%","1.607%","ANCASH","POMABAMBA","HUAYLLAN"
"ACCION POPULAR","118","8.110%","5.927%","ANCASH","POMABAMBA","HUAYLLAN"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","29","1.993%","1.457%","ANCASH","POMABAMBA","HUAYLLAN"
"PODEMOS PERU","20","1.375%","1.005%","ANCASH","POMABAMBA","HUAYLLAN"
"JUNTOS POR EL PERU","219","15.052%","10.999%","ANCASH","POMABAMBA","HUAYLLAN"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.137%","0.100%","ANCASH","POMABAMBA","HUAYLLAN"
"FUERZA POPULAR","58","3.986%","2.913%","ANCASH","POMABAMBA","HUAYLLAN"
"UNION POR EL PERU","18","1.237%","0.904%","ANCASH","POMABAMBA","HUAYLLAN"
"RENOVACION POPULAR","34","2.337%","1.708%","ANCASH","POMABAMBA","HUAYLLAN"
"RENACIMIENTO UNIDO NACIONAL","19","1.306%","0.954%","ANCASH","POMABAMBA","HUAYLLAN"
"PARTIDO DEMOCRATICO SOMOS PERU","58","3.986%","2.913%","ANCASH","POMABAMBA","HUAYLLAN"
"PARTIDO POLITICO NACIONAL PERU LIBRE","749","51.478%","37.619%","ANCASH","POMABAMBA","HUAYLLAN"
"DEMOCRACIA DIRECTA","5","0.344%","0.251%","ANCASH","POMABAMBA","HUAYLLAN"
"ALIANZA PARA EL PROGRESO","43","2.955%","2.160%","ANCASH","POMABAMBA","HUAYLLAN"
"PARTIDO NACIONALISTA PERUANO","27","1.512%","0.918%","ANCASH","POMABAMBA","PAROBAMBA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","12","0.672%","0.408%","ANCASH","POMABAMBA","PAROBAMBA"
"PARTIDO MORADO","54","3.024%","1.836%","ANCASH","POMABAMBA","PAROBAMBA"
"PERU PATRIA SEGURA","4","0.224%","0.136%","ANCASH","POMABAMBA","PAROBAMBA"
"VICTORIA NACIONAL","114","6.383%","3.876%","ANCASH","POMABAMBA","PAROBAMBA"
"ACCION POPULAR","108","6.047%","3.672%","ANCASH","POMABAMBA","PAROBAMBA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","36","2.016%","1.224%","ANCASH","POMABAMBA","PAROBAMBA"
"PODEMOS PERU","15","0.840%","0.510%","ANCASH","POMABAMBA","PAROBAMBA"
"JUNTOS POR EL PERU","231","12.934%","7.854%","ANCASH","POMABAMBA","PAROBAMBA"
"PARTIDO POPULAR CRISTIANO - PPC","9","0.504%","0.306%","ANCASH","POMABAMBA","PAROBAMBA"
"FUERZA POPULAR","239","13.382%","8.126%","ANCASH","POMABAMBA","PAROBAMBA"
"UNION POR EL PERU","17","0.952%","0.578%","ANCASH","POMABAMBA","PAROBAMBA"
"RENOVACION POPULAR","18","1.008%","0.612%","ANCASH","POMABAMBA","PAROBAMBA"
"RENACIMIENTO UNIDO NACIONAL","29","1.624%","0.986%","ANCASH","POMABAMBA","PAROBAMBA"
"PARTIDO DEMOCRATICO SOMOS PERU","103","5.767%","3.502%","ANCASH","POMABAMBA","PAROBAMBA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","728","40.761%","24.753%","ANCASH","POMABAMBA","PAROBAMBA"
"DEMOCRACIA DIRECTA","6","0.336%","0.204%","ANCASH","POMABAMBA","PAROBAMBA"
"ALIANZA PARA EL PROGRESO","36","2.016%","1.224%","ANCASH","POMABAMBA","PAROBAMBA"
"PARTIDO NACIONALISTA PERUANO","37","0.767%","0.518%","ANCASH","POMABAMBA","POMABAMBA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","35","0.725%","0.490%","ANCASH","POMABAMBA","POMABAMBA"
"PARTIDO MORADO","128","2.652%","1.793%","ANCASH","POMABAMBA","POMABAMBA"
"PERU PATRIA SEGURA","13","0.269%","0.182%","ANCASH","POMABAMBA","POMABAMBA"
"VICTORIA NACIONAL","178","3.688%","2.493%","ANCASH","POMABAMBA","POMABAMBA"
"ACCION POPULAR","488","10.110%","6.835%","ANCASH","POMABAMBA","POMABAMBA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","126","2.610%","1.765%","ANCASH","POMABAMBA","POMABAMBA"
"PODEMOS PERU","40","0.829%","0.560%","ANCASH","POMABAMBA","POMABAMBA"
"JUNTOS POR EL PERU","630","13.052%","8.824%","ANCASH","POMABAMBA","POMABAMBA"
"PARTIDO POPULAR CRISTIANO - PPC","13","0.269%","0.182%","ANCASH","POMABAMBA","POMABAMBA"
"FUERZA POPULAR","239","4.951%","3.347%","ANCASH","POMABAMBA","POMABAMBA"
"UNION POR EL PERU","23","0.476%","0.322%","ANCASH","POMABAMBA","POMABAMBA"
"RENOVACION POPULAR","100","2.072%","1.401%","ANCASH","POMABAMBA","POMABAMBA"
"RENACIMIENTO UNIDO NACIONAL","34","0.704%","0.476%","ANCASH","POMABAMBA","POMABAMBA"
"PARTIDO DEMOCRATICO SOMOS PERU","204","4.226%","2.857%","ANCASH","POMABAMBA","POMABAMBA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","2,449","50.735%","34.300%","ANCASH","POMABAMBA","POMABAMBA"
"DEMOCRACIA DIRECTA","4","0.083%","0.056%","ANCASH","POMABAMBA","POMABAMBA"
"ALIANZA PARA EL PROGRESO","86","1.782%","1.204%","ANCASH","POMABAMBA","POMABAMBA"
"PARTIDO NACIONALISTA PERUANO","12","1.807%","1.047%","ANCASH","POMABAMBA","QUINUABAMBA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","10","1.506%","0.873%","ANCASH","POMABAMBA","QUINUABAMBA"
"PARTIDO MORADO","7","1.054%","0.611%","ANCASH","POMABAMBA","QUINUABAMBA"
"PERU PATRIA SEGURA","2","0.301%","0.175%","ANCASH","POMABAMBA","QUINUABAMBA"
"VICTORIA NACIONAL","16","2.410%","1.396%","ANCASH","POMABAMBA","QUINUABAMBA"
"ACCION POPULAR","82","12.349%","7.155%","ANCASH","POMABAMBA","QUINUABAMBA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","9","1.355%","0.785%","ANCASH","POMABAMBA","QUINUABAMBA"
"PODEMOS PERU","8","1.205%","0.698%","ANCASH","POMABAMBA","QUINUABAMBA"
"JUNTOS POR EL PERU","104","15.663%","9.075%","ANCASH","POMABAMBA","QUINUABAMBA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.151%","0.087%","ANCASH","POMABAMBA","QUINUABAMBA"
"FUERZA POPULAR","88","13.253%","7.679%","ANCASH","POMABAMBA","QUINUABAMBA"
"UNION POR EL PERU","1","0.151%","0.087%","ANCASH","POMABAMBA","QUINUABAMBA"
"RENOVACION POPULAR","3","0.452%","0.262%","ANCASH","POMABAMBA","QUINUABAMBA"
"RENACIMIENTO UNIDO NACIONAL","1","0.151%","0.087%","ANCASH","POMABAMBA","QUINUABAMBA"
"PARTIDO DEMOCRATICO SOMOS PERU","30","4.518%","2.618%","ANCASH","POMABAMBA","QUINUABAMBA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","262","39.458%","22.862%","ANCASH","POMABAMBA","QUINUABAMBA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","POMABAMBA","QUINUABAMBA"
"ALIANZA PARA EL PROGRESO","28","4.217%","2.443%","ANCASH","POMABAMBA","QUINUABAMBA"
"PARTIDO NACIONALISTA PERUANO","63","2.933%","2.486%","ANCASH","RECUAY","CATAC"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","12","0.559%","0.474%","ANCASH","RECUAY","CATAC"
"PARTIDO MORADO","15","0.698%","0.592%","ANCASH","RECUAY","CATAC"
"PERU PATRIA SEGURA","2","0.093%","0.079%","ANCASH","RECUAY","CATAC"
"VICTORIA NACIONAL","97","4.516%","3.828%","ANCASH","RECUAY","CATAC"
"ACCION POPULAR","238","11.080%","9.392%","ANCASH","RECUAY","CATAC"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","106","4.935%","4.183%","ANCASH","RECUAY","CATAC"
"PODEMOS PERU","50","2.328%","1.973%","ANCASH","RECUAY","CATAC"
"JUNTOS POR EL PERU","355","16.527%","14.009%","ANCASH","RECUAY","CATAC"
"PARTIDO POPULAR CRISTIANO - PPC","16","0.745%","0.631%","ANCASH","RECUAY","CATAC"
"FUERZA POPULAR","143","6.657%","5.643%","ANCASH","RECUAY","CATAC"
"UNION POR EL PERU","17","0.791%","0.671%","ANCASH","RECUAY","CATAC"
"RENOVACION POPULAR","88","4.097%","3.473%","ANCASH","RECUAY","CATAC"
"RENACIMIENTO UNIDO NACIONAL","12","0.559%","0.474%","ANCASH","RECUAY","CATAC"
"PARTIDO DEMOCRATICO SOMOS PERU","23","1.071%","0.908%","ANCASH","RECUAY","CATAC"
"PARTIDO POLITICO NACIONAL PERU LIBRE","829","38.594%","32.715%","ANCASH","RECUAY","CATAC"
"DEMOCRACIA DIRECTA","6","0.279%","0.237%","ANCASH","RECUAY","CATAC"
"ALIANZA PARA EL PROGRESO","76","3.538%","2.999%","ANCASH","RECUAY","CATAC"
"PARTIDO NACIONALISTA PERUANO","10","4.386%","3.559%","ANCASH","RECUAY","COTAPARACO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","0","0.000%","0.000%","ANCASH","RECUAY","COTAPARACO"
"PARTIDO MORADO","4","1.754%","1.423%","ANCASH","RECUAY","COTAPARACO"
"PERU PATRIA SEGURA","0","0.000%","0.000%","ANCASH","RECUAY","COTAPARACO"
"VICTORIA NACIONAL","11","4.825%","3.915%","ANCASH","RECUAY","COTAPARACO"
"ACCION POPULAR","29","12.719%","10.320%","ANCASH","RECUAY","COTAPARACO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","8","3.509%","2.847%","ANCASH","RECUAY","COTAPARACO"
"PODEMOS PERU","5","2.193%","1.779%","ANCASH","RECUAY","COTAPARACO"
"JUNTOS POR EL PERU","21","9.211%","7.473%","ANCASH","RECUAY","COTAPARACO"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","RECUAY","COTAPARACO"
"FUERZA POPULAR","63","27.632%","22.420%","ANCASH","RECUAY","COTAPARACO"
"UNION POR EL PERU","2","0.877%","0.712%","ANCASH","RECUAY","COTAPARACO"
"RENOVACION POPULAR","12","5.263%","4.270%","ANCASH","RECUAY","COTAPARACO"
"RENACIMIENTO UNIDO NACIONAL","0","0.000%","0.000%","ANCASH","RECUAY","COTAPARACO"
"PARTIDO DEMOCRATICO SOMOS PERU","0","0.000%","0.000%","ANCASH","RECUAY","COTAPARACO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","55","24.123%","19.573%","ANCASH","RECUAY","COTAPARACO"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","RECUAY","COTAPARACO"
"ALIANZA PARA EL PROGRESO","8","3.509%","2.847%","ANCASH","RECUAY","COTAPARACO"
"PARTIDO NACIONALISTA PERUANO","5","1.969%","1.453%","ANCASH","RECUAY","HUAYLLAPAMPA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5","1.969%","1.453%","ANCASH","RECUAY","HUAYLLAPAMPA"
"PARTIDO MORADO","5","1.969%","1.453%","ANCASH","RECUAY","HUAYLLAPAMPA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","ANCASH","RECUAY","HUAYLLAPAMPA"
"VICTORIA NACIONAL","5","1.969%","1.453%","ANCASH","RECUAY","HUAYLLAPAMPA"
"ACCION POPULAR","63","24.803%","18.314%","ANCASH","RECUAY","HUAYLLAPAMPA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","5","1.969%","1.453%","ANCASH","RECUAY","HUAYLLAPAMPA"
"PODEMOS PERU","5","1.969%","1.453%","ANCASH","RECUAY","HUAYLLAPAMPA"
"JUNTOS POR EL PERU","53","20.866%","15.407%","ANCASH","RECUAY","HUAYLLAPAMPA"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","RECUAY","HUAYLLAPAMPA"
"FUERZA POPULAR","41","16.142%","11.919%","ANCASH","RECUAY","HUAYLLAPAMPA"
"UNION POR EL PERU","1","0.394%","0.291%","ANCASH","RECUAY","HUAYLLAPAMPA"
"RENOVACION POPULAR","6","2.362%","1.744%","ANCASH","RECUAY","HUAYLLAPAMPA"
"RENACIMIENTO UNIDO NACIONAL","0","0.000%","0.000%","ANCASH","RECUAY","HUAYLLAPAMPA"
"PARTIDO DEMOCRATICO SOMOS PERU","3","1.181%","0.872%","ANCASH","RECUAY","HUAYLLAPAMPA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","44","17.323%","12.791%","ANCASH","RECUAY","HUAYLLAPAMPA"
"DEMOCRACIA DIRECTA","1","0.394%","0.291%","ANCASH","RECUAY","HUAYLLAPAMPA"
"ALIANZA PARA EL PROGRESO","12","4.724%","3.488%","ANCASH","RECUAY","HUAYLLAPAMPA"
"PARTIDO NACIONALISTA PERUANO","42","9.272%","7.095%","ANCASH","RECUAY","LLACLLIN"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5","1.104%","0.845%","ANCASH","RECUAY","LLACLLIN"
"PARTIDO MORADO","18","3.974%","3.041%","ANCASH","RECUAY","LLACLLIN"
"PERU PATRIA SEGURA","1","0.221%","0.169%","ANCASH","RECUAY","LLACLLIN"
"VICTORIA NACIONAL","9","1.987%","1.520%","ANCASH","RECUAY","LLACLLIN"
"ACCION POPULAR","46","10.155%","7.770%","ANCASH","RECUAY","LLACLLIN"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","15","3.311%","2.534%","ANCASH","RECUAY","LLACLLIN"
"PODEMOS PERU","6","1.325%","1.014%","ANCASH","RECUAY","LLACLLIN"
"JUNTOS POR EL PERU","96","21.192%","16.216%","ANCASH","RECUAY","LLACLLIN"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.442%","0.338%","ANCASH","RECUAY","LLACLLIN"
"FUERZA POPULAR","37","8.168%","6.250%","ANCASH","RECUAY","LLACLLIN"
"UNION POR EL PERU","1","0.221%","0.169%","ANCASH","RECUAY","LLACLLIN"
"RENOVACION POPULAR","13","2.870%","2.196%","ANCASH","RECUAY","LLACLLIN"
"RENACIMIENTO UNIDO NACIONAL","2","0.442%","0.338%","ANCASH","RECUAY","LLACLLIN"
"PARTIDO DEMOCRATICO SOMOS PERU","6","1.325%","1.014%","ANCASH","RECUAY","LLACLLIN"
"PARTIDO POLITICO NACIONAL PERU LIBRE","119","26.269%","20.101%","ANCASH","RECUAY","LLACLLIN"
"DEMOCRACIA DIRECTA","7","1.545%","1.182%","ANCASH","RECUAY","LLACLLIN"
"ALIANZA PARA EL PROGRESO","28","6.181%","4.730%","ANCASH","RECUAY","LLACLLIN"
"PARTIDO NACIONALISTA PERUANO","15","3.731%","2.820%","ANCASH","RECUAY","MARCA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","0","0.000%","0.000%","ANCASH","RECUAY","MARCA"
"PARTIDO MORADO","8","1.990%","1.504%","ANCASH","RECUAY","MARCA"
"PERU PATRIA SEGURA","1","0.249%","0.188%","ANCASH","RECUAY","MARCA"
"VICTORIA NACIONAL","7","1.741%","1.316%","ANCASH","RECUAY","MARCA"
"ACCION POPULAR","56","13.930%","10.526%","ANCASH","RECUAY","MARCA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","14","3.483%","2.632%","ANCASH","RECUAY","MARCA"
"PODEMOS PERU","16","3.980%","3.008%","ANCASH","RECUAY","MARCA"
"JUNTOS POR EL PERU","43","10.697%","8.083%","ANCASH","RECUAY","MARCA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.249%","0.188%","ANCASH","RECUAY","MARCA"
"FUERZA POPULAR","51","12.687%","9.586%","ANCASH","RECUAY","MARCA"
"UNION POR EL PERU","0","0.000%","0.000%","ANCASH","RECUAY","MARCA"
"RENOVACION POPULAR","18","4.478%","3.383%","ANCASH","RECUAY","MARCA"
"RENACIMIENTO UNIDO NACIONAL","3","0.746%","0.564%","ANCASH","RECUAY","MARCA"
"PARTIDO DEMOCRATICO SOMOS PERU","7","1.741%","1.316%","ANCASH","RECUAY","MARCA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","59","14.677%","11.090%","ANCASH","RECUAY","MARCA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","RECUAY","MARCA"
"ALIANZA PARA EL PROGRESO","103","25.622%","19.361%","ANCASH","RECUAY","MARCA"
"PARTIDO NACIONALISTA PERUANO","16","3.990%","3.156%","ANCASH","RECUAY","PAMPAS CHICO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2","0.499%","0.394%","ANCASH","RECUAY","PAMPAS CHICO"
"PARTIDO MORADO","6","1.496%","1.183%","ANCASH","RECUAY","PAMPAS CHICO"
"PERU PATRIA SEGURA","0","0.000%","0.000%","ANCASH","RECUAY","PAMPAS CHICO"
"VICTORIA NACIONAL","13","3.242%","2.564%","ANCASH","RECUAY","PAMPAS CHICO"
"ACCION POPULAR","62","15.461%","12.229%","ANCASH","RECUAY","PAMPAS CHICO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","11","2.743%","2.170%","ANCASH","RECUAY","PAMPAS CHICO"
"PODEMOS PERU","15","3.741%","2.959%","ANCASH","RECUAY","PAMPAS CHICO"
"JUNTOS POR EL PERU","60","14.963%","11.834%","ANCASH","RECUAY","PAMPAS CHICO"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","RECUAY","PAMPAS CHICO"
"FUERZA POPULAR","78","19.451%","15.385%","ANCASH","RECUAY","PAMPAS CHICO"
"UNION POR EL PERU","1","0.249%","0.197%","ANCASH","RECUAY","PAMPAS CHICO"
"RENOVACION POPULAR","10","2.494%","1.972%","ANCASH","RECUAY","PAMPAS CHICO"
"RENACIMIENTO UNIDO NACIONAL","3","0.748%","0.592%","ANCASH","RECUAY","PAMPAS CHICO"
"PARTIDO DEMOCRATICO SOMOS PERU","3","0.748%","0.592%","ANCASH","RECUAY","PAMPAS CHICO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","112","27.930%","22.091%","ANCASH","RECUAY","PAMPAS CHICO"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","RECUAY","PAMPAS CHICO"
"ALIANZA PARA EL PROGRESO","9","2.244%","1.775%","ANCASH","RECUAY","PAMPAS CHICO"
"PARTIDO NACIONALISTA PERUANO","13","2.832%","2.142%","ANCASH","RECUAY","PARARIN"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5","1.089%","0.824%","ANCASH","RECUAY","PARARIN"
"PARTIDO MORADO","9","1.961%","1.483%","ANCASH","RECUAY","PARARIN"
"PERU PATRIA SEGURA","2","0.436%","0.329%","ANCASH","RECUAY","PARARIN"
"VICTORIA NACIONAL","20","4.357%","3.295%","ANCASH","RECUAY","PARARIN"
"ACCION POPULAR","72","15.686%","11.862%","ANCASH","RECUAY","PARARIN"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","30","6.536%","4.942%","ANCASH","RECUAY","PARARIN"
"PODEMOS PERU","13","2.832%","2.142%","ANCASH","RECUAY","PARARIN"
"JUNTOS POR EL PERU","70","15.251%","11.532%","ANCASH","RECUAY","PARARIN"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.436%","0.329%","ANCASH","RECUAY","PARARIN"
"FUERZA POPULAR","82","17.865%","13.509%","ANCASH","RECUAY","PARARIN"
"UNION POR EL PERU","3","0.654%","0.494%","ANCASH","RECUAY","PARARIN"
"RENOVACION POPULAR","14","3.050%","2.306%","ANCASH","RECUAY","PARARIN"
"RENACIMIENTO UNIDO NACIONAL","4","0.871%","0.659%","ANCASH","RECUAY","PARARIN"
"PARTIDO DEMOCRATICO SOMOS PERU","5","1.089%","0.824%","ANCASH","RECUAY","PARARIN"
"PARTIDO POLITICO NACIONAL PERU LIBRE","90","19.608%","14.827%","ANCASH","RECUAY","PARARIN"
"DEMOCRACIA DIRECTA","2","0.436%","0.329%","ANCASH","RECUAY","PARARIN"
"ALIANZA PARA EL PROGRESO","23","5.011%","3.789%","ANCASH","RECUAY","PARARIN"
"PARTIDO NACIONALISTA PERUANO","92","3.639%","2.928%","ANCASH","RECUAY","RECUAY"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","27","1.068%","0.859%","ANCASH","RECUAY","RECUAY"
"PARTIDO MORADO","40","1.582%","1.273%","ANCASH","RECUAY","RECUAY"
"PERU PATRIA SEGURA","5","0.198%","0.159%","ANCASH","RECUAY","RECUAY"
"VICTORIA NACIONAL","111","4.391%","3.533%","ANCASH","RECUAY","RECUAY"
"ACCION POPULAR","260","10.285%","8.275%","ANCASH","RECUAY","RECUAY"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","136","5.380%","4.328%","ANCASH","RECUAY","RECUAY"
"PODEMOS PERU","61","2.413%","1.941%","ANCASH","RECUAY","RECUAY"
"JUNTOS POR EL PERU","223","8.821%","7.097%","ANCASH","RECUAY","RECUAY"
"PARTIDO POPULAR CRISTIANO - PPC","13","0.514%","0.414%","ANCASH","RECUAY","RECUAY"
"FUERZA POPULAR","273","10.799%","8.689%","ANCASH","RECUAY","RECUAY"
"UNION POR EL PERU","14","0.554%","0.446%","ANCASH","RECUAY","RECUAY"
"RENOVACION POPULAR","125","4.945%","3.978%","ANCASH","RECUAY","RECUAY"
"RENACIMIENTO UNIDO NACIONAL","10","0.396%","0.318%","ANCASH","RECUAY","RECUAY"
"PARTIDO DEMOCRATICO SOMOS PERU","47","1.859%","1.496%","ANCASH","RECUAY","RECUAY"
"PARTIDO POLITICO NACIONAL PERU LIBRE","936","37.025%","29.790%","ANCASH","RECUAY","RECUAY"
"DEMOCRACIA DIRECTA","10","0.396%","0.318%","ANCASH","RECUAY","RECUAY"
"ALIANZA PARA EL PROGRESO","145","5.736%","4.615%","ANCASH","RECUAY","RECUAY"
"PARTIDO NACIONALISTA PERUANO","3","1.744%","1.230%","ANCASH","RECUAY","TAPACOCHA"
